Reward_Type,Reward_Name,Alpha,Planning_Steps,Final_Env_Reward_Mean,Final_Env_Reward_CI95,Final_Success_Rate_Mean,Final_Success_Rate_CI95,Final_Illegal_Actions_Mean,Final_Illegal_Actions_CI95
base,Base Environment Reward,0.2,2,-128.35999999999999,21.33213792867466,0.9119999999999999,0.03840799916684022,7.848000000000001,1.3025730007949654
base,Base Environment Reward,0.2,5,-112.792,13.345355452980634,0.9559999999999998,0.014667296956153864,7.1,0.8331268138764946
base,Base Environment Reward,0.2,10,-126.508,11.968323013288035,0.8960000000000001,0.01920399958342013,7.5920000000000005,0.756326388803141
base,Base Environment Reward,0.5,2,-75.36800000000001,9.250391049377317,0.9640000000000001,0.03372111504680708,5.148000000000001,0.46325710183439156
base,Base Environment Reward,0.5,5,-95.388,7.670755922488997,0.944,0.019203999583420107,6.156000000000001,0.5214336790043389
base,Base Environment Reward,0.5,10,-95.072,24.418861509382452,0.9400000000000001,0.05543717164502532,6.3,1.4216689459927019
base,Base Environment Reward,0.8,2,-109.756,15.371141268546067,0.9400000000000001,0.030364189434266126,7.24,0.9016852133643979
base,Base Environment Reward,0.8,5,-106.772,4.36916665445483,0.9359999999999999,0.014667296956153814,6.928,0.24373449160920993
base,Base Environment Reward,0.8,10,-91.47999999999999,21.48714665617564,0.968,0.026586733533851034,6.156000000000001,1.4121470155759281
reward_4,Subgoal Safety Reward,0.2,2,-292.71999999999997,13.144941324783467,0.068,0.04400189086846155,11.372,0.5425483926803215
reward_4,Subgoal Safety Reward,0.2,5,-303.672,6.298826479146722,0.02,0.02147072425420251,11.788,0.485605574926812
reward_4,Subgoal Safety Reward,0.2,10,-293.584,14.13127867595853,0.044,0.06123235745910817,11.203999999999999,0.5322257205359395
reward_4,Subgoal Safety Reward,0.5,2,-286.904,12.038583585522018,0.10800000000000001,0.05626258437007671,11.536,0.5275859831345027
reward_4,Subgoal Safety Reward,0.5,5,-284.548,8.591935372568859,0.128,0.02658673353385105,12.028,0.44290796154505974
reward_4,Subgoal Safety Reward,0.5,10,-305.348,9.096060779392353,0.048,0.04221969208793451,12.488,0.40389318191819007
reward_4,Subgoal Safety Reward,0.8,2,-107.56400000000001,12.477024400136434,0.9119999999999999,0.03635258450234314,6.864,0.6099852535922488
reward_4,Subgoal Safety Reward,0.8,5,-114.95599999999999,28.786806051550766,0.876,0.0727051690046863,7.044,1.4255763275251168
reward_4,Subgoal Safety Reward,0.8,10,-112.92,14.398405998443025,0.8960000000000001,0.06946257697494383,7.048,0.6200047277239102
